playerID,feature1,feature2,classification
marquru01,2.0653,0.1175,N
faberre01,1.8940,0.1463,N
tennefr02,3.8089,0.6409,N
donovbi01,2.8366,0.3094,N
ewingbu01,4.0783,0.8586,N
woodjo02,2.8046,0.3822,N
bradlbi01,3.7166,0.5161,N
coopewi01,2.3551,0.2131,N
frasech01,2.8734,0.2926,N
gleaski01,3.7904,0.5188,N
grimebu01,2.4288,0.2484,N
hahnno01,2.9959,0.2664,N
haineje01,2.0071,0.1357,N
hoytwa01,1.9095,0.1424,N
jonessa01,1.7433,0.2118,N
luquedo01,1.8658,0.1717,N
nehfar01,1.9720,0.1940,N
peitzhe01,3.3395,0.4311,N
perduhu01,1.8634,0.1242,N
phillde01,2.5995,0.2546,N
schacal01,0.9623,0.1698,N
shockur01,1.9369,0.2160,N
ansonca01,4.0733,0.7911,Y
comisch01,4.1698,0.7151,Y
cummica01,4.3279,0.5992,Y
ewingbu01,4.0783,0.8586,Y
radboch01,3.8086,0.4717,Y
spaldal01,4.7640,1.0146,Y
wadderu01,2.6000,0.1488,N
walshed01,2.3704,0.2026,N
pennohe01,1.9581,0.1742,N
griffcl01,2.8454,0.4165,N
brownmo01,2.3185,0.1886,N
planked01,2.5508,0.2063,N
mcginjo01,2.7191,0.2285,N
bresnro01,3.0989,0.4716,N
bendech01,2.2623,0.2012,N
vanceda01,2.1968,0.1538,N
jossad01,2.7601,0.1554,N
ruckena01,2.3958,0.1310,N
adamsba01,2.1141,0.1639,N
nichoki01,3.2142,0.4206,N
burkeje01,4.0760,0.8325,N
martipe01,3.4626,0.6341,N
wallabo01,3.6164,0.4436,N
becklja01,3.9925,0.6706,N
bradlbi01,3.7166,0.5161,N
dinnebi01,2.7410,0.2374,N
dunnja01,3.3102,0.4020,N
faberre01,1.8940,0.1463,N
hoytwa01,1.9095,0.1424,N
kerrdi01,1.9231,0.2797,N
lowebo01,3.8856,0.6221,N
phillde01,2.5995,0.2546,N
rusieam01,3.5524,0.4292,N
schaege01,3.2904,0.4322,N
tennefr02,3.8089,0.6409,N
woodjo02,2.8046,0.3822,N
wadderu01,2.6000,0.1488,N
walshed01,2.3704,0.2026,N
bresnro01,3.0989,0.4716,N
griffcl01,2.8454,0.4165,N
brownmo01,2.3185,0.1886,N
pennohe01,1.9581,0.1742,N
mcginjo01,2.7191,0.2285,N
bendech01,2.2623,0.2012,N
planked01,2.5508,0.2063,N
grovele01,2.2116,0.1922,N
hubbeca01,2.4075,0.1776,N
jossad01,2.7601,0.1554,N
vanceda01,2.1968,0.1538,N
deandi01,2.2062,0.2338,N
ruckena01,2.3958,0.1310,N
adamsba01,2.1141,0.1639,N
gomezle01,2.4565,0.1603,N
nichoki01,3.2142,0.4206,N
lyonste01,2.2170,0.2298,N
donovbi01,2.8366,0.3094,N
wallabo01,3.6164,0.4436,N
burkeje01,4.0760,0.8325,N
lowebo01,3.8856,0.6221,N
phillde01,2.5995,0.2546,N
camniho01,2.0767,0.1288,N
dinnebi01,2.7410,0.2374,N
donlimi01,3.6740,0.6378,N
dunnja01,3.3102,0.4020,N
gleaski01,3.7904,0.5188,N
kerrdi01,1.9231,0.2797,N
lewisdu01,3.6676,0.4195,N
martipe01,3.4626,0.6341,N
mungova01,1.9195,0.1366,N
rixeyep01,2.1931,0.1369,N
rootch01,1.7184,0.1361,N
rusieam01,3.5524,0.4292,N
seymocy01,3.7186,0.4823,N
tanneje01,2.7866,0.3735,N
vandejo01,1.7932,0.1518,N
bresnro01,3.0989,0.4716,Y
broutda01,4.0114,0.9103,Y
kellyki01,4.0509,0.9326,Y
orourji01,4.2546,0.8649,Y
wadderu01,2.6000,0.1488,N
walshed01,2.3704,0.2026,N
walshed01,2.3704,0.2026,N
hubbeca01,2.4075,0.1776,N
wadderu01,2.6000,0.1488,N
griffcl01,2.8454,0.4165,N
hubbeca01,2.4075,0.1776,N
griffcl01,2.8454,0.4165,N
grovele01,2.2116,0.1922,N
grovele01,2.2116,0.1922,N
brownmo01,2.3185,0.1886,N
mcginjo01,2.7191,0.2285,N
brownmo01,2.3185,0.1886,N
mcginjo01,2.7191,0.2285,N
deandi01,2.2062,0.2338,N
pennohe01,1.9581,0.1742,N
deandi01,2.2062,0.2338,N
bendech01,2.2623,0.2012,N
bendech01,2.2623,0.2012,N
planked01,2.5508,0.2063,N
